source_site,listing_id,rental_url,title,monthly_rent,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,furnished_flag,availability_text,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug
privateproperty,RR4640733,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-central/linksfield/RR4640733,3 Bedroom House in Linksfield,37500.0,Linksfield,Johannesburg Central,Gauteng,House,3.0,2.0,6.0,3.0,400.0,1.0,,,,,"3 Bedroom House in Linksfield, Secure Family Living: Spacious Linksfield Home in Gated Community Exceptional Family Home in Secure",27 Mar 2026,2026-03-27T16:37:35.245644+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-central,linksfield
privateproperty,RR4640721,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/carlswald-estate/RR4640721,2 Bedroom House in Carlswald Estate,8000.0,Carlswald Estate,Midrand,Gauteng,House,2.0,1.0,1.0,,90.0,,,,,,"2 Bedroom House in Carlswald Estate, Looking for serenity, convenience, safety coupled with peace of mind, look no further It offers 2be",27 Mar 2026,2026-03-27T16:37:38.730127+00:00,to-rent,gauteng,johannesburg-metro,midrand,carlswald-estate
privateproperty,RR4640719,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/halfway-gardens/RR4640719,3 Bedroom House in Halfway Gardens,13000.0,Halfway Gardens,Midrand,Gauteng,House,3.0,2.0,2.0,1.0,400.0,,,,,,"3 Bedroom House in Halfway Gardens, 3 Bedrooms to let in Midrand, secured house perfect for family. Located in Halfway Gardens, Midr",27 Mar 2026,2026-03-27T16:37:42.097832+00:00,to-rent,gauteng,johannesburg-metro,midrand,halfway-gardens
privateproperty,RR4640703,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4640703,4 Bedroom House in Hyde Park,100000.0,Hyde Park,Sandton,Gauteng,House,4.0,4.5,4.0,4.0,,,,,,,"4 Bedroom House in Hyde Park, Live in the lap of Luxury on the Prestige Morsim Road This home epitomizes style and sophistication",27 Mar 2026,2026-03-27T16:37:45.104094+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4640698,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/sandhurst/RR4640698,4 Bedroom House in Sandhurst,100000.0,Sandhurst,Sandton,Gauteng,House,4.0,4.5,4.0,4.0,,,,,,,"4 Bedroom House in Sandhurst, Live in the lap of Luxury on the Prestige Morsim Road This home epitomizes style and sophistication",27 Mar 2026,2026-03-27T16:37:49.092000+00:00,to-rent,gauteng,johannesburg-metro,sandton,sandhurst
privateproperty,RR4640668,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/sandhurst/RR4640668,4 Bedroom House in Sandhurst,205000.0,Sandhurst,Sandton,Gauteng,House,4.0,6.0,4.0,4.0,,,,,1.0,Available Now,"4 Bedroom House in Sandhurst, Furnished Mansion available at the best address A contemporary Masterpiece with integrated living sp",27 Mar 2026,2026-03-27T16:37:52.742510+00:00,to-rent,gauteng,johannesburg-metro,sandton,sandhurst
privateproperty,RR4640666,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4640666,4 Bedroom House in Hyde Park,205000.0,Hyde Park,Sandton,Gauteng,House,4.0,6.0,4.0,4.0,,,,,1.0,Available Now,"4 Bedroom House in Hyde Park, Furnished Mansion available at the best address A contemporary Masterpiece with integrated living sp",27 Mar 2026,2026-03-27T16:38:08.059431+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4640657,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4640657,4 Bedroom House in Hyde Park,110000.0,Hyde Park,Sandton,Gauteng,House,4.0,5.0,2.0,2.0,,,,,,Available Now,"4 Bedroom House in Hyde Park, 4 level architectural and ultra-modern house available in a small secure development This property i",27 Mar 2026,2026-03-27T16:38:11.292276+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4640655,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/morningside/RR4640655,4 Bedroom House in Morningside,110000.0,Morningside,Sandton,Gauteng,House,4.0,5.0,2.0,2.0,,,,,,Available Now,"4 Bedroom House in Morningside, 4 level architectural and ultra-modern house available in a small secure development This property i",27 Mar 2026,2026-03-27T16:38:14.084928+00:00,to-rent,gauteng,johannesburg-metro,sandton,morningside
privateproperty,RR4640637,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/morningside/RR4640637,5 Bedroom House in Morningside,75000.0,Morningside,Sandton,Gauteng,House,5.0,5.5,3.0,,,,,,,Available Now,"5 Bedroom House in Morningside, Escape the hustle and bustle of the city in your own Oasis House available in 24-hour secure estate",27 Mar 2026,2026-03-27T16:38:18.331869+00:00,to-rent,gauteng,johannesburg-metro,sandton,morningside
privateproperty,RR4640631,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/benmore-gardens/RR4640631,5 Bedroom House in Benmore Gardens,75000.0,Benmore Gardens,Sandton,Gauteng,House,5.0,5.5,3.0,,,,,,,Available Now,"5 Bedroom House in Benmore Gardens, Escape the hustle and bustle of the city in your own Oasis House available in 24-hour secure estate",27 Mar 2026,2026-03-27T16:38:22.286789+00:00,to-rent,gauteng,johannesburg-metro,sandton,benmore-gardens
privateproperty,RR4640612,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/houghton-estate/RR4640612,5 Bedroom House in Houghton Estate,75000.0,Houghton Estate,Rosebank And Parktown,Gauteng,House,5.0,7.0,4.0,4.0,,,,,,Available Now,"5 Bedroom House in Houghton Estate, Presenting your forever Family Home If youve been searching for a home that can keep up with a grow",27 Mar 2026,2026-03-27T16:38:25.247092+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,houghton-estate
privateproperty,RR4640586,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/lenasia-to-ennerdale/lenasia/lehae/RR4640586,2 Bedroom House in Lehae,4500.0,Lenasia,Lenasia To Ennerdale,Gauteng,House,2.0,1.0,,,,,,,,,"2 Bedroom House in Lehae, Charming 2-Bedroom Home for Rent in Lehae Discover the perfect blend of comfort and security in this",27 Mar 2026,2026-03-27T16:38:28.991828+00:00,to-rent,gauteng,johannesburg-metro,lenasia-to-ennerdale,lenasia
privateproperty,RR4640563,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/sunninghill/8-mala-close/RR4640563,2 Bedroom House in Sunninghill,18000.0,Sunninghill,Sandton,Gauteng,House,2.0,2.5,2.0,2.0,489.0,489.0,,,,Available Now,"2 Bedroom House in Sunninghill, 8 Mala Close, A Haven for Executives! This immaculate cluster is well loved by the owner and is now available to",27 Mar 2026,2026-03-27T16:38:32.562727+00:00,to-rent,gauteng,johannesburg-metro,sandton,sunninghill
privateproperty,RR4640525,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-south/glenvista/RR4640525,1 Bedroom House in Glenvista,6500.0,Glenvista,Johannesburg South,Gauteng,House,1.0,2.0,2.0,,,1.0,,,,,"1 Bedroom House in Glenvista, Spacious One-Bedroom Granny Flat in Prime Glenvista Location A spacious one-bedroom granny flat in",27 Mar 2026,2026-03-27T16:38:36.332868+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-south,glenvista
privateproperty,RR4640454,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/bryanston/RR4640454,3 Bedroom House in Bryanston,38000.0,Bryanston,Sandton,Gauteng,House,3.0,3.5,2.0,2.0,256.0,246.0,,,,Available Now,"3 Bedroom House in Bryanston, Bryanston Sanctuary: Unrivalled Luxury Living Discover refined elegance in this magnificent cluster",27 Mar 2026,2026-03-27T16:38:39.458216+00:00,to-rent,gauteng,johannesburg-metro,sandton,bryanston
privateproperty,RR4640443,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/northcliff/victory-park/RR4640443,3 Bedroom House in Victory Park,18000.0,Victory Park,Northcliff,Gauteng,House,1.0,2.0,6.0,1.0,,1.0,,,,,"3 Bedroom House in Victory Park, 4 bedroom family home to let in Victory Park You will love this large home in Victory Park, all thi",27 Mar 2026,2026-03-27T16:38:43.497092+00:00,to-rent,gauteng,johannesburg-metro,northcliff,victory-park
privateproperty,RR4640427,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/fourways/224-woodfern-road-fernbrook-estate/RR4640427,3 Bedroom House in Fourways,35000.0,Fourways,Sandton,Gauteng,House,3.0,2.5,2.0,2.0,,833.0,,,,,"3 Bedroom House in Fourways, 224 Woodfern Road, Fernbrook Estate, Entertainers Delight . This beautifully maintained home offers an exceptional blend of comfort, styl",27 Mar 2026,2026-03-27T16:38:47.257968+00:00,to-rent,gauteng,johannesburg-metro,sandton,fourways
privateproperty,RR4640252,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/noordwyk/crescent-wood-country-estate/RR4640252,3 Bedroom House in Crescent Wood Country Estate,20000.0,Noordwyk,Midrand,Gauteng,House,3.0,2.5,2.0,2.0,,,,,,,"3 Bedroom House in Crescent Wood Country Estate, STUNNING PROPERTY WITHIN CRESCENTWOOD This double storey cluster offers the following in this secur",27 Mar 2026,2026-03-27T16:38:51.014266+00:00,to-rent,gauteng,johannesburg-metro,midrand,noordwyk
privateproperty,RR4640197,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-south/turffontein/RR4640197,3 Bedroom House in Turffontein,8000.0,Turffontein,Johannesburg South,Gauteng,House,3.0,2.0,6.0,,,825.0,,,,Available Now,"3 Bedroom House in Turffontein, 3-Bedroom House To Rent This well-maintained home offers comfortable living in a practical layout,",27 Mar 2026,2026-03-27T16:38:54.698638+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-south,turffontein
