source_site,listing_id,rental_url,title,monthly_rent,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,furnished_flag,availability_text,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug
privateproperty,RR4639697,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/north-riding-to-lanseria/jackal-creek-northriding/jackal-creek-golf-estate/RR4639697,1 Bedroom Apartment in Jackal Creek Golf Estate,7000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,1.0,1.0,2.0,,51.0,,,,,Available Now,"1 Bedroom Apartment in Jackal Creek Golf Estate, AVAILABLE IMMEDIATELY Augusta First Floor Apartment This spacious first-floor apartment offers mod",26 Mar 2026,2026-03-27T17:37:02.599940+00:00,to-rent,gauteng,johannesburg-metro,north-riding-to-lanseria,jackal-creek-northriding
privateproperty,RR4639715,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/kyalami/RR4639715,3 Bedroom Apartment in Kyalami,16000.0,Kyalami,Midrand,Gauteng,Apartment,3.0,20.0,2.0,,131.0,,,,,Available Now,"3 Bedroom Apartment in Kyalami, Contemporary 3-Bedroom Apartment in Secure Lifestyle Estate Kyalami Positioned in the heart of Kya",26 Mar 2026,2026-03-27T17:36:59.713629+00:00,to-rent,gauteng,johannesburg-metro,midrand,kyalami
privateproperty,RR4639724,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/morningside/RR4639724,1 Bedroom Apartment in Morningside,9250.0,Morningside,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,,,,,,Available 1 May 2026,"1 Bedroom Apartment in Morningside, Bedroom 1 Bathroom Apartment To Rent Spacious unit located in a upmarket and secure complex. In the",26 Mar 2026,2026-03-27T17:36:55.419559+00:00,to-rent,gauteng,johannesburg-metro,sandton,morningside
privateproperty,RR4639725,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/bryanston/RR4639725,2 Bedroom Apartment in Bryanston,23000.0,Bryanston,Sandton,Gauteng,Apartment,2.0,3.5,2.0,,126.0,,,,,,"2 Bedroom Apartment in Bryanston, Welcome to a beautifully crafted luxury ground-floor apartment featuring exclusive interior design a",26 Mar 2026,2026-03-27T17:36:52.718844+00:00,to-rent,gauteng,johannesburg-metro,sandton,bryanston
privateproperty,RR4639731,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/carlswald/RR4639731,1 Bedroom Apartment in Carlswald,7500.0,Carlswald,Midrand,Gauteng,Apartment,1.0,1.0,1.0,,,,,,,,"1 Bedroom Apartment in Carlswald, Modern 1-Bedroom Ground Floor Apartment to Rent The West End, Midrand Experience stylish, secure",26 Mar 2026,2026-03-27T17:36:48.978629+00:00,to-rent,gauteng,johannesburg-metro,midrand,carlswald
privateproperty,RR4639743,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-central/johannesburg-cbd/450-44-springbok-hotel/69-joubert/RR4639743,Studio Apartment in Johannesburg CBD,2400.0,Johannesburg Cbd,Johannesburg Central,Gauteng,Apartment,0.5,1.0,,,13.0,,,,,Available Now,"Studio Apartment in Johannesburg CBD, 450-44 Springbok Hotel, 69 Joubert, Affordable Inner-City Apartments with Easy Transport Access LIMITED OFFER: FLEXI DEPOSIT OPTION AVA",26 Mar 2026,2026-03-27T17:36:46.360925+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-central,johannesburg-cbd
privateproperty,RR4639748,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-central/johannesburg-cbd/450-45-impilo-place/141-rahima-moosa/RR4639748,1 Bedroom Apartment in Johannesburg CBD,3750.0,Johannesburg Cbd,Johannesburg Central,Gauteng,Apartment,1.0,1.0,,,24.0,,,,,Available Now,"1 Bedroom Apartment in Johannesburg CBD, 450-45 Impilo Place, 141 Rahima Moosa, Stylish Inner-City Apartments Near FNB Bank City LIMITED OFFER: FLEXI DEPOSIT OPTION AVAILABLE | Ts",26 Mar 2026,2026-03-27T17:36:42.342332+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-central,johannesburg-cbd
privateproperty,RR4639760,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-south/rosettenville/37-verona-street/RR4639760,Bachelor apartment in Rosettenville,2100.0,Rosettenville,Johannesburg South,Gauteng,Apartment,1.0,1.0,,,,,,,,Available Now,"Bachelor apartment in Rosettenville, 37 Verona Street, - Lounge: Cozy living area perfect for relaxation - Bathroom: Fully equipped with modern fixtures -",26 Mar 2026,2026-03-27T17:36:38.900112+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-south,rosettenville
privateproperty,RR4639783,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-south/suideroord/RR4639783,1 Bedroom Apartment in Suideroord,5000.0,Suideroord,Johannesburg South,Gauteng,Apartment,1.0,1.0,1.0,,,,,,,,"1 Bedroom Apartment in Suideroord, Charming 1-Bedroom Apartment in Suideroord This neat and well-maintained apartment offers a comfort",26 Mar 2026,2026-03-27T17:36:35.399610+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-south,suideroord
privateproperty,RR4286347,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/carlswald-north-estate/26-hill-of-good-hope-2/29-loopers-street/RR4286347,1 Bedroom Apartment in Carlswald North Estate,7400.0,Carlswald North Estate,Midrand,Gauteng,Apartment,1.0,1.0,1.0,,51.0,,,,,,"1 Bedroom Apartment in Carlswald North Estate, 26 Hill of Good Hope 2, 29 Loopers street, Property has prepaid electricity.",26 Mar 2026,2026-03-27T17:36:31.408128+00:00,to-rent,gauteng,johannesburg-metro,midrand,carlswald-north-estate
privateproperty,RR4639787,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4639787,2 Bedroom Apartment in Hyde Park,20000.0,Hyde Park,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,97.0,,,,1.0,,"2 Bedroom Apartment in Hyde Park, FULLY FURNISHED EXECUTIVE 2 BEDROOM GARDEN APARTMENT IN HYDE PARK This beautifully appointed, fully",26 Mar 2026,2026-03-27T17:36:28.592408+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4639812,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/morningside/RR4639812,2 Bedroom Apartment in Morningside,15000.0,Morningside,Sandton,Gauteng,Apartment,2.0,1.0,1.0,,86.0,,,,1.0,Available Now,"2 Bedroom Apartment in Morningside, 2 BEDROOM FURNISHED LOFT APARTMENT IN MORNINGSIDE SANDTON Experience stylish, lock-up-and-go living",26 Mar 2026,2026-03-27T17:36:25.391506+00:00,to-rent,gauteng,johannesburg-metro,sandton,morningside
privateproperty,RR4639838,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4639838,2 Bedroom Apartment in Hyde Park,22500.0,Hyde Park,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Hyde Park, Fully Furnished Executive 2 Bedroom 2 bathroom Apartment Luxurious unit in a Newly Developed comple",26 Mar 2026,2026-03-27T17:36:22.122382+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4639843,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4639843,2 Bedroom Apartment in Hyde Park,22500.0,Hyde Park,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Hyde Park, Fully Furnished Executive 2 Bedroom 2 bathroom Apartment Luxurious unit in a Newly Developed comple",26 Mar 2026,2026-03-27T17:36:19.157942+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4639856,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/rosebank/RR4639856,2 Bedroom Apartment in Rosebank,22000.0,Rosebank,Rosebank And Parktown,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Rosebank, Fully Furnished Executive 2 Bedroom 2 bathroom Apartment Luxurious unit in a Newly Developed comple",26 Mar 2026,2026-03-27T17:36:16.415981+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,rosebank
privateproperty,RR4639857,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/rosebank/238-the-tyrwhitt/35-bath-ave/RR4639857,2 Bedroom Apartment in Rosebank,20000.0,Rosebank,Rosebank And Parktown,Gauteng,Apartment,2.0,2.0,2.0,2.0,83.0,,,,,,"2 Bedroom Apartment in Rosebank, 238 The Tyrwhitt, 35 Bath Ave, THE ULTIMATE IN LUXURY LIVING The Tyrwhitt is an Iconic Complex in the Heart of Rosebank.",26 Mar 2026,2026-03-27T17:36:12.719703+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,rosebank
privateproperty,RR4639860,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/rosebank/RR4639860,2 Bedroom Apartment in Rosebank,22000.0,Rosebank,Rosebank And Parktown,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Rosebank, Fully Furnished Executive 2 Bedroom 2 bathroom Apartment Luxurious unit in a Newly Developed comple",26 Mar 2026,2026-03-27T17:36:09.961223+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,rosebank
privateproperty,RR4639861,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/sandown/500-the-capital-on-park/101-katherine-street/RR4639861,2 Bedroom Apartment in Sandown,30000.0,Sandown,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,75.0,,,,1.0,,"2 Bedroom Apartment in Sandown, 500 The Capital on Park, 101 Katherine Street, A cosmopolitan business and leisure resort, The Capital on the Park is luxury apartment hotel that o",26 Mar 2026,2026-03-27T17:36:06.101091+00:00,to-rent,gauteng,johannesburg-metro,sandton,sandown
privateproperty,RR4639864,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/erand-gardens/RR4639864,1 Bedroom Apartment in Erand Gardens,6500.0,Erand Gardens,Midrand,Gauteng,Apartment,1.0,1.0,1.0,1.0,,,,,,,"1 Bedroom Apartment in Erand Gardens, Neat and well-maintained 1-bedroom apartment available in Erand Court. The unit features 1 bedroom,",26 Mar 2026,2026-03-27T17:36:03.333529+00:00,to-rent,gauteng,johannesburg-metro,midrand,erand-gardens
privateproperty,RR4639863,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4639863,2 Bedroom Apartment in Hyde Park,23000.0,Hyde Park,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Hyde Park, SPACIOUS FULLY FURNISHED APARTMENT TO RENT Situated in a prestige area, within close proximity to H",26 Mar 2026,2026-03-27T17:35:59.178021+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4639868,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4639868,2 Bedroom Apartment in Hyde Park,22000.0,Hyde Park,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Hyde Park, Fully Furnished Executive 2 Bedroom 2 bathroom Apartment Luxurious unit in a Newly Developed comple",26 Mar 2026,2026-03-27T17:35:56.141765+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4639874,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/rosebank/RR4639874,2 Bedroom Apartment in Rosebank,22500.0,Rosebank,Rosebank And Parktown,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Rosebank, Fully Furnished Executive 2 Bedroom 2 bathroom Apartment Luxurious unit in a Newly Developed comple",26 Mar 2026,2026-03-27T17:35:53.016587+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,rosebank
privateproperty,RR4639878,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-central/braamfontein/RR4639878,1 Bedroom Apartment in Braamfontein,9000.0,Braamfontein,Johannesburg Central,Gauteng,Apartment,1.0,1.0,,,,,,,,Available Now,"1 Bedroom Apartment in Braamfontein, Modern and spacious 1-bedroom apartment with a versatile loft space, ideal for a home office, second",26 Mar 2026,2026-03-27T17:35:50.219009+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-central,braamfontein
privateproperty,RR4639880,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/rosebank/RR4639880,2 Bedroom Apartment in Rosebank,22000.0,Rosebank,Rosebank And Parktown,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Rosebank, Fully Furnished Executive 2 Bedroom 2 bathroom Apartment Luxurious unit in a Newly Developed comple",26 Mar 2026,2026-03-27T17:35:46.807847+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,rosebank
privateproperty,RR4639884,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/fourways/RR4639884,Studio Apartment in Fourways,6700.0,Fourways,Sandton,Gauteng,Apartment,0.5,1.0,,,,,,,,Available Now,"Studio Apartment in Fourways, Ground Floor Studio Apartment To Let Sunset Boulevard, Fourways This charming ground floor studio",26 Mar 2026,2026-03-27T17:35:43.757253+00:00,to-rent,gauteng,johannesburg-metro,sandton,fourways
privateproperty,RR4639887,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4639887,2 Bedroom Apartment in Hyde Park,22000.0,Hyde Park,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Hyde Park, Fully Furnished Executive 2 Bedroom 2 bathroom Apartment Luxurious unit in a Newly Developed comple",26 Mar 2026,2026-03-27T17:35:39.940564+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4639904,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/craighall/RR4639904,1 Bedroom Apartment in Craighall,10000.0,Craighall,Rosebank And Parktown,Gauteng,Apartment,1.0,1.0,1.0,,,,,,,,"1 Bedroom Apartment in Craighall, Modern, Ground Floor 1 bed 1 full bathroom upmarket apartment in sought after residential area. St",26 Mar 2026,2026-03-27T17:35:35.532545+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,craighall
privateproperty,RR4639907,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/linbro-park/RR4639907,3 Bedroom Apartment in Linbro Park,15500.0,Linbro Park,Sandton,Gauteng,Apartment,3.0,2.0,2.0,,,,,,,,"3 Bedroom Apartment in Linbro Park, 3-Bedroom Apartment Available - THE REID ESTATE Modern 3-Bedroom Home in Secure Linbro Park Estate",26 Mar 2026,2026-03-27T17:35:31.604103+00:00,to-rent,gauteng,johannesburg-metro,sandton,linbro-park
privateproperty,RR4639926,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-central/sandringham/RR4639926,3 Bedroom Apartment in Sandringham,24000.0,Sandringham,Johannesburg Central,Gauteng,Apartment,3.0,2.0,2.0,,123.0,,,,,,"3 Bedroom Apartment in Sandringham, Move-in ready apartment in Brookfield with full back up water and electricity. Open-plan kitchen an",26 Mar 2026,2026-03-27T17:35:28.867830+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-central,sandringham
privateproperty,RR4639928,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/illovo/1229-circa-illovo/21-chaplin-road/RR4639928,1 Bedroom Apartment in Illovo,9275.0,Illovo,Sandton,Gauteng,Apartment,1.0,1.0,1.0,1.0,38.0,,,,,Available Now,"1 Bedroom Apartment in Illovo, 1229 Circa-Illovo, 21 Chaplin Road, Circa Illovo Live Exceptionally in the Heart of Sandton LIMITED-TIME LAUNCH SPECIAL Get Your First",26 Mar 2026,2026-03-27T17:35:25.300388+00:00,to-rent,gauteng,johannesburg-metro,sandton,illovo
privateproperty,RR4639934,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/noordwyk/m437-phoenix-view/14th-road/RR4639934,2 Bedroom Apartment in Noordwyk,8900.0,Noordwyk,Midrand,Gauteng,Apartment,2.0,1.0,2.0,,,,,,,,"2 Bedroom Apartment in Noordwyk, M437 Phoenix View, 14th Road, This well-maintained 2-bedroom apartment is located in the secure and sought-after Phoenix View comp",26 Mar 2026,2026-03-27T17:35:09.029635+00:00,to-rent,gauteng,johannesburg-metro,midrand,noordwyk
privateproperty,RR4639943,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR4639943,2 Bedroom Apartment in Hyde Park,20000.0,Hyde Park,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,77.0,,,,,,"2 Bedroom Apartment in Hyde Park, A distinctive development ideally positioned in the sought-after and affluent suburb of Hyde Park.",26 Mar 2026,2026-03-27T17:35:05.424184+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4639946,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/sandown/124-ss-the-capital-on-the-park/101-katherine-street/RR4639946,2 Bedroom Apartment in Sandown,24000.0,Sandown,Sandton,Gauteng,Apartment,2.0,2.0,2.0,,79.0,,,,1.0,Available Now,"2 Bedroom Apartment in Sandown, 124 SS THE CAPITAL ON THE PARK, 101 Katherine Street, Come and view this stunning 2 bed, 2 bath in Capital on Park Sandown. Situated on the 1st Floor th",26 Mar 2026,2026-03-27T17:35:02.013963+00:00,to-rent,gauteng,johannesburg-metro,sandton,sandown
privateproperty,RR4639962,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/dainfern/RR4639962,1 Bedroom Apartment in Dainfern,7500.0,Dainfern,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,50.0,50.0,,,,,"1 Bedroom Apartment in Dainfern, Middle Floor | Private Balcony | Ultimate Convenience Experience contemporary living in one of Dain",26 Mar 2026,2026-03-27T17:34:58.387886+00:00,to-rent,gauteng,johannesburg-metro,sandton,dainfern
privateproperty,RR4639961,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/broadacres/30-cedar-avenue-west/RR4639961,2 Bedroom Apartment in Broadacres,11000.0,Broadacres,Sandton,Gauteng,Apartment,2.0,2.0,1.0,,78.0,,,,,,"2 Bedroom Apartment in Broadacres, 30 Cedar Avenue West, Beautiful 2 Bedroom, 2 Bathroom, 1st Floor Apartment in Secure Complex Plum Realty is proud to offer",26 Mar 2026,2026-03-27T17:34:54.705720+00:00,to-rent,gauteng,johannesburg-metro,sandton,broadacres
privateproperty,RR4639969,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/lonehill/RR4639969,1 Bedroom Apartment in Lonehill,7800.0,Lonehill,Sandton,Gauteng,Apartment,1.0,1.0,2.0,,57.0,1.0,,,,,"1 Bedroom Apartment in Lonehill, This unit is a neat one bedroom unit with great privacy Covered balcony looking out onto mature tre",26 Mar 2026,2026-03-27T17:34:51.049875+00:00,to-rent,gauteng,johannesburg-metro,sandton,lonehill
privateproperty,RR4639981,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/waverley/RR4639981,2 Bedroom Apartment in Waverley,11800.0,Waverley,Rosebank And Parktown,Gauteng,Apartment,2.0,2.0,2.0,,,,,,0.0,Available 1 May 2026,"2 Bedroom Apartment in Waverley, Modern Comfort in Waverley: Your New 2 Bed, 2 Bath unfurnished Haven Awaits you Experience the Perf",26 Mar 2026,2026-03-27T17:34:46.809357+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,waverley
privateproperty,RR4640002,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-south/forest-hill/RR4640002,3 Bedroom Apartment in Forest Hill,5500.0,Forest Hill,Johannesburg South,Gauteng,Apartment,3.0,1.0,,,,,,,,Available Now,"3 Bedroom Apartment in Forest Hill, Newly renovated 3 Bedroom Apartment situated at 51 Forest Street, Forest Hill. Building is safe, se",26 Mar 2026,2026-03-27T17:34:43.387823+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-south,forest-hill
privateproperty,RR4640072,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-estate/10-jukskei-heights-ext3/RR4640072,3 Bedroom Apartment in Waterfall Estate,25000.0,Waterfall Estate,Midrand,Gauteng,Apartment,2.0,2.0,2.0,,110.0,,,,1.0,Available Now,"3 Bedroom Apartment in Waterfall Estate, 10 Jukskei Heights Ext3,, Modern 3-Bedroom, 2-Bathroom Fully Furnished First-Floor Apartment with New Furniture at The Polofie",26 Mar 2026,2026-03-27T17:34:40.041339+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-estate
privateproperty,RR4640114,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/noordwyk/RR4640114,2 Bedroom Apartment in Noordwyk,8500.0,Noordwyk,Midrand,Gauteng,Apartment,2.0,1.0,1.0,,,,,,,,"2 Bedroom Apartment in Noordwyk, This immaculate unit is a second floor apartment located in Phoenix Regent Estate 1. Phoenix Regent",26 Mar 2026,2026-03-27T17:34:36.736316+00:00,to-rent,gauteng,johannesburg-metro,midrand,noordwyk
